"Timestamp","Resident Year","Have you taken the BIDMC Surgical Anatomy Course?","If you have taken the BIDMC Surgical Anatomy Course, how satisfied were you with the course?","In medical school, what would best describe your Anatomy instruction?","If other, please describe your prior anatomy training in medical school:","How satisfied were you with the anatomy training in your medical school?","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Forearm Fasciotomy]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Popliteal A. Exposure]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Axillary Lymphadenectomy]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Subclavian vessel exposure]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Femoral hernia repair]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [(Tissue) Inguinal Hernia Repair]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Resuscitative (ED) thoracotomy]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Mediastinoscopy]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [(Cattel-Brasch) Right Medial Visceral Rotation]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Common Bile Duct Exploration]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Aortic bifurcation exposure/repair]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [SMA Exposure]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Total Mesorectal Excision (TME)]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Abdominal Hysterectomy]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [High-ligation colonic vessels]","What would you change in the anatomy course?","Any other comments or suggestions for anatomy training?"
"2018/12/23 6:06:54 PM EST","PGY-2","No","","10 week block and then with each organ system briefly ","","5","Basics","Basics","Comfortable","Some idea","Some idea","Some idea","Some idea","Some idea","No idea","Comfortable","No idea","No idea","No idea","No idea","No idea","more hands on exposure ","if you disect out structures in lab, it sticks"
"2018/12/23 6:17:15 PM EST","PGY-5","Yes","3","1 year course of human anatomy over 1st year of medical school","","5","Some idea","Comfortable","Independent","Basics","Basics","Comfortable","Independent","Comfortable","Independent","Independent","Independent","Independent","Independent","Basics","Comfortable","Have it second year","I think the anatomy course is nice but is alsmot completely useless in practice. It was variably attended by attending physicians my year. I would have devoted and we’ll implemented operative teaching goals on my rotations than a cadaver lab. I learned nothing from the course that I didn’t already know. "
"2018/12/23 6:29:57 PM EST","PGY-4","Yes","3","6 months of anatomy","","3","Basics","Basics","Comfortable","Basics","Basics","Basics","Basics","Some idea","Basics","Comfortable","Some idea","Some idea","Some idea","No idea","Basics","Cadavers pre-dissected",""
"2018/12/23 6:30:38 PM EST","PGY-3","No","","4-10 week intensive human anatomy course","","2","Some idea","Basics","Comfortable","Some idea","Basics","Basics","Some idea","Some idea","Some idea","No idea","No idea","No idea","No idea","No idea","No idea","",""
"2018/12/23 6:37:29 PM EST","PGY-5","Yes","3","4-10 week intensive human anatomy course","","4","Basics","Comfortable","Independent","Some idea","Comfortable","Comfortable","Comfortable","Some idea","Comfortable","Basics","Some idea","Basics","Independent","Basics","Basics","I would focus on anatomy of above maneuvers and have residents do them. Some time should be take to go over key anatomy and procedures and the rest of the time focused on residents practicing the procedures. We spent too much time going overobscure embrionic names/planes.","Give residents access to the anatomy lab outside if the block of time allotted on Wednesdays "
"2018/12/23 6:51:51 PM EST","PGY-1","No","","1 year course of human anatomy over 1st year of medical school","","3","Some idea","Some idea","No idea","No idea","Basics","Basics","Some idea","Some idea","No idea","No idea","No idea","No idea","Some idea","No idea","No idea","",""
"2018/12/23 6:51:57 PM EST","Research resident","Yes","3","Hybrid anatomy modules during other courses in medical school (eg. Lung anatomy during lung physiology course)","","3","No idea","Some idea","Basics","No idea","Basics","Comfortable","Basics","Basics","Some idea","Some idea","No idea","No idea","Some idea","No idea","No idea","",""
"2018/12/23 7:30:58 PM EST","PGY-2","No","","4-10 week intensive human anatomy course","","5","Some idea","No idea","Some idea","No idea","Some idea","Basics","Some idea","No idea","Some idea","No idea","No idea","No idea","No idea","No idea","No idea","",""
"2018/12/23 7:41:28 PM EST","Other","No","","1 year course of human anatomy over 1st year of medical school","","2","Basics","Independent","Comfortable","Independent","Independent","Expert","Independent","Some idea","Independent","Comfortable","Independent","Basics","Basics","Some idea","Comfortable","",""
"2018/12/23 9:12:19 PM EST","PGY-2","No","","1 year course of human anatomy over 1st year of medical school","","2","Some idea","Basics","Basics","No idea","Basics","Basics","Basics","No idea","No idea","Some idea","No idea","Some idea","No idea","Some idea","Some idea","","Would love to have as much as possible. My med school anatomy was taught by anatomists; it emphasized more memorization and some less clinically useful things like exact points of muscle insertions. I would really value the opportunity to practice surgical procedures and review anatomy on cadavers."
"2018/12/24 7:59:37 AM EST","PGY-1","No","","4-10 week intensive human anatomy course","","4","No idea","Basics","Some idea","Some idea","Some idea","Basics","No idea","No idea","No idea","No idea","Some idea","No idea","Some idea","Some idea","No idea","",""
"2018/12/24 10:36:11 AM EST","PGY-4","Yes","4","1 year course of human anatomy over 1st year of medical school","","5","Some idea","Some idea","Comfortable","Basics","Basics","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Basics","Basics","Comfortable","",""
"2018/12/25 4:01:41 PM EST","PGY-5","Yes","3","Hybrid anatomy modules during other courses in medical school (eg. Lung anatomy during lung physiology course)","","3","Some idea","No idea","Some idea","Some idea","Some idea","Some idea","Comfortable","Comfortable","Comfortable","Basics","Basics","Basics","Basics","Some idea","Comfortable","More focus on the above techniques","Open it to more than just the pgy3 year. I missed half th anatomy courses for example due to away rotations. "
"2018/12/26 7:23:25 AM EST","PGY-5","Yes","4","1 year course of human anatomy over 1st year of medical school","","3","Basics","Comfortable","Comfortable","Basics","Comfortable","Independent","Comfortable","Comfortable","Independent","Comfortable","Basics","Comfortable","Comfortable","Some idea","Independent","Greater focus on procedures we don't do often in the OR -- thoracotomy, CBD exploration, fasciotomies, neck exploration. ",""
"2018/12/26 9:38:17 PM EST","PGY-1","No","","1 year course of human anatomy over 1st year of medical school","","2","Comfortable","No idea","Comfortable","Some idea","Basics","Comfortable","Some idea","No idea","No idea","Comfortable","No idea","No idea","No idea","No idea","No idea","","I always learned better when I was taught simple concepts very well. Subsequently, I was able to understand more practical and clinical aspects once I had a good grasp of how the concept worked."
"2018/12/30 3:01:39 PM EST","PGY-1","No","","1 year course of human anatomy over 1st year of medical school","","5","Some idea","No idea","Comfortable","Some idea","Basics","Basics","Some idea","No idea","No idea","No idea","No idea","No idea","No idea","Some idea","No idea","",""
"2018/12/31 3:04:58 PM EST","Research resident","Yes","3","4-10 week intensive human anatomy course","","5","Some idea","Basics","Basics","Some idea","Basics","Independent","Basics","Some idea","Some idea","No idea","No idea","Some idea","Basics","Some idea","Comfortable","Have most of dissection done prior to resident arrival; plastic surgery procedures on cadavers were not at all useful, more time with ""deep"" exposures, i.e. pelvis, kidney, aorta, etc. Also the anatomy reading materials are not useful.",""
"2019/01/02 5:33:28 PM EST","PGY-2","No","","4-10 week intensive human anatomy course","","3","No idea","No idea","Some idea","No idea","Basics","Basics","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","",""
"2019/01/09 12:24:46 PM EST","PGY-2","No","","1 year course of human anatomy over 1st year of medical school","","3","No idea","No idea","Some idea","No idea","No idea","No idea","Some idea","Some idea","Some idea","No idea","No idea","Some idea","No idea","No idea","No idea","","Lower PGY levels could also use the anatomy skills. "
"2019/01/09 12:28:42 PM EST","Research resident","Yes","3","4-10 week intensive human anatomy course","","4","Basics","Comfortable","Comfortable","Basics","Basics","Basics","Some idea","Basics","Comfortable","Basics","Comfortable","Basics","Some idea","No idea","Basics","",""
